Event_Title,Date,Time,Venue,Address,url,Latitude,Longitude,Category
Waterfall & Sculpture Photography-Landscape Photography Course,2025-10-19,10:00,Marysville,"Murchison St Parkville Marysville, VIC 3779",https://www.eventbrite.com.au/e/waterfall-sculpture-photography-landscape-photography-course-tickets-1099520528499?aff=ebdssbdestsearch,-37.5105378,145.7424923,Talks/Workshops
Influencing Communication Skills for Managers,2025-10-19,08:00,Melbourne,"Melbourne Melbourne, VIC",https://www.eventbrite.com.au/e/influencing-communication-skills-for-managers-tickets-886641046237?aff=ebdssbdestsearch,-37.8136276,144.9630576,Talks/Workshops
Accounting Skills For Supervisors Training,2025-10-19,09:00,Melbourne,"Melbourne Melbourne, VIC",https://www.eventbrite.com.au/e/accounting-skills-for-supervisors-training-tickets-886654576707?aff=ebdssbdestsearch,-37.8136276,144.9630576,Talks/Workshops
Receptionist Skills Training,2025-10-20,08:00,Melbourne,"Melbourne Melbourne, VIC",https://www.eventbrite.com.au/e/receptionist-skills-training-tickets-886655579707?aff=ebdssbdestsearch,-37.8136276,144.9630576,Talks/Workshops
The Ghost Inside Australian Tour,2025-10-23,12:00,Forum Melbourne,"150 Flinders St, Melbourne VIC 3000, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=THEGHOST25,-37.8166268,144.9695761,
Damiano David,2025-10-24,12:00,Forum Melbourne,"150 Flinders St, Melbourne VIC 3000, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=DAMIANO25,-37.8166268,144.9695761,
Angel Aligner Study Club - Melbourne,2025-10-24,12:00,80 Collins St,"80 Collins Street Melbourne, VIC 3000",https://www.eventbrite.com/e/angel-aligner-study-club-melbourne-tickets-1260348308719?aff=ebdssbdestsearch,-37.8135003,144.9707349,Talks/Workshops
Konstantinos Argiros,2025-10-25,12:00,Margaret Court Arena,"40 Tennis Centre Access Rd, Melbourne VIC 3000, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=ARGIROS25,-37.8211276,144.9776364,
Touch Drawing,2025-10-26,13:00,Laneway Learning,"37 Swanston Street #15 Melbourne, VIC 3000",https://www.eventbrite.com.au/e/touch-drawing-tickets-861314363447?aff=ebdssbdestsearch,-37.8167028,144.9666895,Art
EMO NEVER SLEEPS: HALLOWEEN '25,2025-10-31,00:00,EMO NEVER SLEEPS,"629 Bourke St, Melbourne VIC 3004, Australia",https://www.facebook.com/events/422835880924410/,-37.8167994,144.9552063,Music
Damien Leith,2025-11-01,12:00,Hamer Hall,"100 St Kilda Rd, Southbank VIC 3004, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=DAMIENLE25,-37.8201455,144.9679946,
HEAVY CONGRESS - YARRA VALLEY,2025-11-01,11:00,Rochford Wines Yarra Valley,"878-880 Maroondah Highway Coldstream, VIC 3770Get directions",https://www.eventbrite.com.au/e/heavy-congress-yarra-valley-tickets-1025287982957?aff=ebdssbdestsearch,-37.684459,145.47461,Music
Defected Melbourne 2025,2025-11-03,00:00,170 Russell,"170 Russell St, Melbourne VIC 3000, Australia",https://www.facebook.com/events/1972850223454251/,-37.8120109,144.9679369,Music
grentperez,2025-11-04,12:00,Forum Melbourne,"150 Flinders St, Melbourne VIC 3000, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=GRENTP25,-37.8166268,144.9695761,
Crisis Leadership Training,2025-11-05,07:30,Melbourne,"Melbourne Melbourne, VIC",https://www.eventbrite.com.au/e/crisis-leadership-training-tickets-886731145727?aff=ebdssbdestsearch,-37.8136276,144.9630576,Talks/Workshops
Conflict Resolution Training,2025-11-05,07:30,Melbourne,"Melbourne Melbourne, VIC",https://www.eventbrite.com.au/e/conflict-resolution-training-tickets-886738929007?aff=ebdssbdestsearch,-37.8136276,144.9630576,Talks/Workshops
二狗“一条名叫爱情的狗” -  墨尔本站,2025-11-06,19:30,首都劇院,"113 Swanston Street Melbourne, VIC 3000",https://www.eventbrite.com/e/1328124128019?aff=ebdssbdestsearch,-37.8150033,144.9659584,Social/Dating
Sol Shift Connection Retreat | June 2025,2025-11-06,19:00,Amberley Way,"Amberley Way Lower Plenty, VIC 3093",https://www.eventbrite.com.au/e/sol-shift-connection-retreat-june-2025-tickets-1251661456109?aff=ebdssbdestsearch,-37.7384579,145.1176798,Talks/Workshops
Emotional Intelligence Training (Managers),2025-11-06,08:00,Melbourne,"Melbourne Melbourne, VIC",https://www.eventbrite.com.au/e/emotional-intelligence-training-managers-tickets-886743402387?aff=ebdssbdestsearch,-37.8136276,144.9630576,Talks/Workshops
The Church,2025-11-08,12:00,Forum Melbourne,"150 Flinders St, Melbourne VIC 3000, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=CHURCH25,-37.8166268,144.9695761,
Leadership & Management Training,2025-11-08,07:30,Melbourne,"Melbourne Melbourne, VIC",https://www.eventbrite.com.au/e/leadership-management-training-tickets-886778667867?aff=ebdssbdestsearch,-37.8136276,144.9630576,Talks/Workshops
2025 VIC Hear For You Life Goals & Skills Blast  Program,2025-11-08,09:30,Ross House Association,"251 Flinders Lane #247 Melbourne, VIC 3000",https://www.eventbrite.com.au/e/2025-vic-hear-for-you-life-goals-skills-blast-program-tickets-1261847272159?aff=ebdssbdestsearch,-37.81687549999999,144.9661088,Talks/Workshops
Critical Elements of Customer Service Training,2025-11-09,13:00,Melbourne,"Melbourne Melbourne, VIC",https://www.eventbrite.com.au/e/critical-elements-of-customer-service-training-tickets-886770403147?aff=ebdssbdestsearch,-37.8136276,144.9630576,Talks/Workshops
Intermediate Project Management Training,2025-11-11,08:00,Melbourne,"Melbourne Melbourne, VIC",https://www.eventbrite.com.au/e/intermediate-project-management-training-tickets-886747123517?aff=ebdssbdestsearch,-37.8136276,144.9630576,Talks/Workshops
RÜFÜS DU SOL,2025-11-13,12:00,Rod Laver Arena,"200 Batman Ave, Melbourne VIC 3000, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=RUFUS25,-37.8216161,144.9785584,
"Chasers 47th Birthday - FREE Entry - 70s, 80s, 90s & 00’s",2025-11-14,20:00,Chasers Nightclub,"386 Chapel St, South Yarra VIC 3141, Australia",https://www.facebook.com/events/622959113111539/,-37.8459118,144.9945123,Music
Carmen,2025-11-15,12:00,Regent Theatre,"191 Collins St, Melbourne VIC 3000, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=CARMEN25,-37.8158988,144.9679107,
BANKS,2025-11-18,12:00,Forum Melbourne,"150 Flinders St, Melbourne VIC 3000, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=BANKS25,-37.8166268,144.9695761,
Jessie Murph,2025-11-19,12:00,Forum Melbourne,"150 Flinders St, Melbourne VIC 3000, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=JMURPH25,-37.8166268,144.9695761,
